LO-ID,Subject,S-ID,Topic,T-ID,Start Learning Objective,Learning Objective Verb,Content Learning Objective ,"Level
(Bloom)",BA,MA,ECR,DS,FK,CK,PK,MK,Complete Learning Objective
03_003_0659,Documentation and metadata,03,Metadata standard,03_003,Learners are able to,apply,metadata standards under guidance.,3,,x,x,x,x,x,x,,Learners are able to apply metadata standards under guidance.
03_003_0660,Documentation and metadata,03,Metadata standard,03_003,Learners are able to,apply,metadata standards independently.,3,,,x,x,x,x,x,,Learners are able to apply metadata standards independently.
03_003_0661,Documentation and metadata,03,Metadata standard,03_003,Learners are able to,name,standardisation organisations.,1,,,,x,x,,,,Learners are able to name standardisation organisations.
03_003_0662,Documentation and metadata,03,Metadata standard,03_003,Learners are able to,explain,difficulties in establishing metadata standards.,2,,,,x,x,x,,,Learners are able to explain difficulties in establishing metadata standards.
03_003_0663,Documentation and metadata,03,Metadata standard,03_003,Learners are able to,name,proven methods for the development of metadata standards.,1,,,x,x,x,,,,Learners are able to name proven methods for the development of metadata standards.
03_003_0664,Documentation and metadata,03,Metadata standard,03_003,Learners are able to,name,proven methods for the use of metadata standards.,1,,,x,x,x,,,,Learners are able to name proven methods for the use of metadata standards.
03_003_0665,Documentation and metadata,03,Metadata standard,03_003,Learners are able to,name,"methods for metadata migration, taking metadata standards into account.",1,,,x,x,x,,,,"Learners are able to name methods for metadata migration, taking metadata standards into account."
03_003_0666,Documentation and metadata,03,Metadata standard,03_003,Learners are able to,explain,"methods for metadata migration, taking metadata standards into account.",2,,,x,x,x,x,,,"Learners are able to explain methods for metadata migration, taking metadata standards into account."
03_003_0667,Documentation and metadata,03,Metadata standard,03_003,Learners are able to,apply,"methods for metadata migration, taking metadata standards into account.",3,,,x,x,x,x,x,,"Learners are able to apply methods for metadata migration, taking metadata standards into account."
03_003_0668,Documentation and metadata,03,Metadata standard,03_003,Learners are able to,analyse,"methods for metadata migration, taking metadata standards into account.",4,,,x,x,x,x,x,,"Learners are able to analyse methods for metadata migration, taking metadata standards into account."
03_003_0669,Documentation and metadata,03,Metadata standard,03_003,Learners are able to,evaluate,the interoperability between systems through the use of metadata standards.,5,,,x,x,x,x,x,x,Learners are able to evaluate the interoperability between systems through the use of metadata standards.
03_003_0670,Documentation and metadata,03,Metadata standard,03_003,Learners are able to,evaluate,the interoperability between organisations through the use of metadata standards.,5,,,x,x,x,x,x,x,Learners are able to evaluate the interoperability between organisations through the use of metadata standards.
03_003_0671,Documentation and metadata,03,Metadata standard,03_003,Learners are able to,design,didactic scenarios on the subject of metadata standards.,6,,,,x,x,x,x,x,Learners are able to design didactic scenarios on the subject of metadata standards.
03_003_0672,Documentation and metadata,03,Metadata standard,03_003,Learners are able to,carry out,didactic scenarios on the subject of metadata standards.,3,,,x,x,x,x,x,,Learners are able to carry out didactic scenarios on the subject of metadata standards.
03_003_0673,Documentation and metadata,03,Metadata standard,03_003,Learners are able to,design,consultancy on the subject of metadata standards. ,6,,,,x,x,x,x,x,Learners are able to design consultancy on the subject of metadata standards. 
03_003_0674,Documentation and metadata,03,Metadata standard,03_003,Learners are able to,carry out,consultancy on the subject of metadata standards. ,3,,,,x,x,x,x,,Learners are able to carry out consultancy on the subject of metadata standards. 
03_004_0675,Documentation and metadata,03,Persistent identifier,03_004,Learners are able to,explain,the term persistent identifier.,2,x,x,x,x,x,x,,,Learners are able to explain the term persistent identifier.
03_004_0676,Documentation and metadata,03,Persistent identifier,03_004,Learners are able to,name,examples for persistent identifiers.,1,x,x,x,x,x,,,,Learners are able to name examples for persistent identifiers.
03_004_0677,Documentation and metadata,03,Persistent identifier,03_004,Learners are able to,explain,examples for persistent identifiers.,2,x,x,x,x,x,x,,,Learners are able to explain examples for persistent identifiers.
03_004_0678,Documentation and metadata,03,Persistent identifier,03_004,Learners are able to,name,the structure of persistent identifiers.,1,,x,x,x,x,,,,Learners are able to name the structure of persistent identifiers.
03_004_0679,Documentation and metadata,03,Persistent identifier,03_004,Learners are able to,explain,the structure of persistent identifiers.,2,,x,x,x,x,x,,,Learners are able to explain the structure of persistent identifiers.
03_004_0680,Documentation and metadata,03,Persistent identifier,03_004,Learners are able to,explain,the functionality of persistent identifiers.,2,,x,x,x,x,x,,,Learners are able to explain the functionality of persistent identifiers.
03_004_0681,Documentation and metadata,03,Persistent identifier,03_004,Learners are able to,name,the areas of application of persistent identifiers.,1,x,x,x,x,x,,,,Learners are able to name the areas of application of persistent identifiers.
03_004_0682,Documentation and metadata,03,Persistent identifier,03_004,Learners are able to,explain,the relevance of persistent identifiers.,2,,x,x,x,x,x,,,Learners are able to explain the relevance of persistent identifiers.
03_004_0683,Documentation and metadata,03,Persistent identifier,03_004,Learners are able to,apply,persistent identifiers for searching.,3,,x,x,x,x,x,x,,Learners are able to apply persistent identifiers for searching.
03_004_0684,Documentation and metadata,03,Persistent identifier,03_004,Learners are able to,apply,persistent identifiers for referencing.,3,,x,x,x,x,x,x,,Learners are able to apply persistent identifiers for referencing.
03_004_0685,Documentation and metadata,03,Persistent identifier,03_004,Learners are able to,analyse,the use of persistent identifiers for referencing.,4,,,,x,x,x,x,,Learners are able to analyse the use of persistent identifiers for referencing.
03_004_0686,Documentation and metadata,03,Persistent identifier,03_004,Learners are able to,evaluate,the use of persistent identifiers for referencing.,5,,,,x,x,x,x,x,Learners are able to evaluate the use of persistent identifiers for referencing.
03_004_0687,Documentation and metadata,03,Persistent identifier,03_004,Learners are able to,name,software for managing persistent identifiers.,1,,,,x,x,,,,Learners are able to name software for managing persistent identifiers.
03_004_0688,Documentation and metadata,03,Persistent identifier,03_004,Learners are able to,apply,software for managing persistent identifiers.,3,,,x,x,x,x,x,,Learners are able to apply software for managing persistent identifiers.
03_004_0689,Documentation and metadata,03,Persistent identifier,03_004,Learners are able to,evaluate,software for managing persistent identifiers.,4,,,,x,x,x,x,x,Learners are able to evaluate software for managing persistent identifiers.
03_004_0690,Documentation and metadata,03,Persistent identifier,03_004,Learners are able to,analyse,software for managing persistent identifiers.,5,,,,x,x,x,x,,Learners are able to analyse software for managing persistent identifiers.
03_004_0691,Documentation and metadata,03,Persistent identifier,03_004,Learners are able to,design,consultancy scenarios on the subject of persistent identifiers. ,6,,,,x,x,x,x,x,Learners are able to design consultancy scenarios on the subject of persistent identifiers. 
03_004_0692,Documentation and metadata,03,Persistent identifier,03_004,Learners are able to,carry out,consultancy on the subject of persistent identifiers. ,3,,,,x,x,x,x,,Learners are able to carry out consultancy on the subject of persistent identifiers. 
03_004_0693,Documentation and metadata,03,Persistent identifier,03_004,Learners are able to,design,didactic scenarios on the topic of persistent identifiers.,6,,,,x,x,x,x,x,Learners are able to design didactic scenarios on the topic of persistent identifiers.
03_004_0694,Documentation and metadata,03,Persistent identifier,03_004,Learners are able to,carry out,didactic scenarios on the topic of persistent identifiers.,3,,,x,x,x,x,x,,Learners are able to carry out didactic scenarios on the topic of persistent identifiers.
03_005_0695,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,explain,the term controlled vocabulary. ,2,,x,x,x,x,x,,,Learners are able to explain the term controlled vocabulary. 
03_005_0696,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,name,areas of application of controlled vocabulary.,1,,x,x,x,x,,,,Learners are able to name areas of application of controlled vocabulary.
03_005_0697,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,explain,areas of application of controlled vocabulary.,2,,x,x,x,x,x,,,Learners are able to explain areas of application of controlled vocabulary.
03_005_0698,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,name,types of controlled vocabulary.,1,,x,x,x,x,,,,Learners are able to name types of controlled vocabulary.
03_005_0699,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,name,examples of controlled vocabulary. ,1,,x,x,x,x,,,,Learners are able to name examples of controlled vocabulary. 
03_005_0700,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,explain,examples of controlled vocabulary. ,2,,x,x,x,x,x,,,Learners are able to explain examples of controlled vocabulary. 
03_005_0701,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,explain,the relevance of controlled vocabulary. ,2,,x,x,x,x,x,,,Learners are able to explain the relevance of controlled vocabulary. 
03_005_0702,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,name,controlled vocabularies to describe resources.,1,,,x,x,x,,,,Learners are able to name controlled vocabularies to describe resources.
03_005_0703,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,explain,controlled vocabularies to describe resources.,2,,,x,x,x,x,,,Learners are able to explain controlled vocabularies to describe resources.
03_005_0704,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,apply,controlled vocabularies to describe resources.,3,,,x,x,x,x,x,,Learners are able to apply controlled vocabularies to describe resources.
03_005_0705,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,analyse,controlled vocabularies to describe resources.,4,,,,x,x,x,x,,Learners are able to analyse controlled vocabularies to describe resources.
03_005_0706,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,evaluate,controlled vocabularies to describe resources.,5,,,,x,x,x,x,x,Learners are able to evaluate controlled vocabularies to describe resources.
03_005_0707,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,develop,controlled vocabularies to describe resources.,6,,,,x,x,x,x,x,Learners are able to develop controlled vocabularies to describe resources.
03_005_0708,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,name,methods to develop controlled vocabulary.,1,,,,x,x,,,,Learners are able to name methods to develop controlled vocabulary.
03_005_0709,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,explain,methods to develop controlled vocabulary.,2,,,,x,x,x,,,Learners are able to explain methods to develop controlled vocabulary.
03_005_0710,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,apply,methods for developing controlled vocabulary under guidance.,3,,,x,x,x,x,x,,Learners are able to apply methods for developing controlled vocabulary under guidance.
03_005_0711,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,apply,methods for developing controlled vocabulary independently.,3,,,,x,x,x,x,,Learners are able to apply methods for developing controlled vocabulary independently.
03_005_0712,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,name,terminological control as an evaluation method.,1,,x,x,x,x,,,,Learners are able to name terminological control as an evaluation method.
03_005_0713,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,explain,terminological control as an evaluation method.,2,,x,x,x,x,x,,,Learners are able to explain terminological control as an evaluation method.
03_005_0714,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,apply,terminological control as an evaluation method under guidance.,3,,x,x,x,x,x,x,,Learners are able to apply terminological control as an evaluation method under guidance.
03_005_0715,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,apply,terminological control as an evaluation method independently.,3,,,x,x,x,x,x,,Learners are able to apply terminological control as an evaluation method independently.
03_005_0716,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,analyse,controlled vocabularies for their own area of application.,4,,,x,x,x,x,x,,Learners are able to analyse controlled vocabularies for their own area of application.
03_005_0717,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,name,quality criteria for controlled vocabulary.,1,,,x,x,x,,,,Learners are able to name quality criteria for controlled vocabulary.
03_005_0718,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,explain,quality criteria for controlled vocabulary.,2,,,x,x,x,x,,,Learners are able to explain quality criteria for controlled vocabulary.
03_005_0719,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,explain,the term norm data.,2,,x,x,x,x,x,,,Learners are able to explain the term norm data.
03_005_0720,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,name,examples for norm data.,1,x,x,x,x,x,,,,Learners are able to name examples for norm data.
03_005_0721,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,apply,norm data.,3,,x,x,x,x,x,x,,Learners are able to apply norm data.
03_005_0722,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,name,software for the development of controlled vocabularies.,1,,,,x,x,,,,Learners are able to name software for the development of controlled vocabularies.
03_005_0723,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,explain,software for the development of controlled vocabularies.,2,,,,x,x,x,,,Learners are able to explain software for the development of controlled vocabularies.
03_005_0724,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,apply,software for the development of controlled vocabularies.,3,,,,x,x,x,x,,Learners are able to apply software for the development of controlled vocabularies.
03_005_0725,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,design,didactic scenarios on the subject of controlled vocabularies.,6,,,,x,x,x,x,x,Learners are able to design didactic scenarios on the subject of controlled vocabularies.
03_005_0726,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,carry out,didactic scenarios on the subject of controlled vocabularies.,3,,,x,x,x,x,x,,Learners are able to carry out didactic scenarios on the subject of controlled vocabularies.
03_005_0727,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,design,consultancy scenarios on the subject of controlled vocabularies.,6,,,,x,x,x,x,x,Learners are able to design consultancy scenarios on the subject of controlled vocabularies.
03_005_0728,Documentation and metadata,03,Vocabulary,03_005,Learners are able to,carry out,consultancy on the subject of controlled vocabularies.,3,,,,x,x,x,x,,Learners are able to carry out consultancy on the subject of controlled vocabularies.
03_006_0729,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,explain,the term taxonomy.,2,x,x,x,x,x,x,,,Learners are able to explain the term taxonomy.
03_006_0730,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,explain,the term classification.,2,x,x,x,x,x,x,,,Learners are able to explain the term classification.
03_006_0731,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,explain,the term thesaurus. ,2,x,x,x,x,x,x,,,Learners are able to explain the term thesaurus. 
03_006_0732,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,name,the structures of conceptual systems.,1,x,x,x,x,x,,,,Learners are able to name the structures of conceptual systems.
03_006_0733,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,explain,the structures of conceptual systems.,2,x,x,x,x,x,x,,,Learners are able to explain the structures of conceptual systems.
03_006_0734,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,apply,the structures of conceptual systems.,3,,x,x,x,x,x,x,,Learners are able to apply the structures of conceptual systems.
03_006_0735,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,name,differences between conceptual systems.,1,,x,x,x,x,,,,Learners are able to name differences between conceptual systems.
03_006_0736,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,explain,differences between conceptual systems.,3,,x,x,x,x,x,,,Learners are able to explain differences between conceptual systems.
03_006_0737,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,analyse,differences between conceptual systems.,4,,x,x,x,x,x,x,,Learners are able to analyse differences between conceptual systems.
03_006_0738,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,evaluate,differences between conceptual systems.,5,,x,x,x,x,x,x,x,Learners are able to evaluate differences between conceptual systems.
03_006_0739,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,name,areas of application of conceptual systems.,1,,x,x,x,x,,,,Learners are able to name areas of application of conceptual systems.
03_006_0740,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,explain,areas of application of conceptual systems.,2,,x,x,x,x,x,,,Learners are able to explain areas of application of conceptual systems.
03_006_0741,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,name,examples of classifications.,1,x,x,x,x,x,,,,Learners are able to name examples of classifications.
03_006_0742,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,explain,examples of classifications.,2,,x,x,x,x,x,,,Learners are able to explain examples of classifications.
03_006_0743,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,name,examples of thesauri.,1,x,x,x,x,x,,,,Learners are able to name examples of thesauri.
03_006_0744,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,explain,examples of thesauri.,2,,x,x,x,x,x,,,Learners are able to explain examples of thesauri.
03_006_0745,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,explain,the relevance of conceptual systems.,2,x,x,x,x,x,x,,,Learners are able to explain the relevance of conceptual systems.
03_006_0746,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,name,classifications to describe resources.,1,,x,x,x,x,,,,Learners are able to name classifications to describe resources.
03_006_0747,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,explain,classifications to describe resources.,2,,,x,x,x,x,,,Learners are able to explain classifications to describe resources.
03_006_0748,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,apply,classifications to describe resources.,3,,,x,x,x,x,x,,Learners are able to apply classifications to describe resources.
03_006_0749,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,analyse,classifications to describe resources.,4,,,x,x,x,x,x,,Learners are able to analyse classifications to describe resources.
03_006_0750,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,evaluate,classifications to describe resources.,5,,,x,x,x,x,x,x,Learners are able to evaluate classifications to describe resources.
03_006_0751,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,develop,classifications to describe resources.,6,,,,x,x,x,x,x,Learners are able to develop classifications to describe resources.
03_006_0752,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,name,thesauri to describe resources.,1,,x,x,x,x,,,,Learners are able to name thesauri to describe resources.
03_006_0753,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,explain,thesauri to describe resources.,2,,x,x,x,x,x,,,Learners are able to explain thesauri to describe resources.
03_006_0754,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,apply,thesauri to describe resources.,3,,,x,x,x,x,x,,Learners are able to apply thesauri to describe resources.
03_006_0755,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,analyse,thesauri to describe resources.,4,,,x,x,x,x,x,,Learners are able to analyse thesauri to describe resources.
03_006_0756,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,evaluate,thesauri to describe resources.,5,,,x,x,x,x,x,x,Learners are able to evaluate thesauri to describe resources.
03_006_0757,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,develop,thesauri to describe resources.,6,,,,x,x,x,x,x,Learners are able to develop thesauri to describe resources.
03_006_0758,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,name,requirements for defining terms in conceptual systems.,1,,,x,x,x,,,,Learners are able to name requirements for defining terms in conceptual systems.
03_006_0759,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,explain,requirements for defining terms in conceptual systems.,2,,,x,x,x,x,,,Learners are able to explain requirements for defining terms in conceptual systems.
03_006_0760,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,name,criteria for the development of conceptual systems.,1,,,x,x,x,,,,Learners are able to name criteria for the development of conceptual systems.
03_006_0761,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,explain,criteria for the development of conceptual systems.,2,,,x,x,x,x,,,Learners are able to explain criteria for the development of conceptual systems.
03_006_0762,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,develop,conceptual systems under guidance.,6,,,x,x,x,x,x,x,Learners are able to develop conceptual systems under guidance.
03_006_0763,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,develop,conceptual systems independently.,6,,,,x,x,x,x,x,Learners are able to develop conceptual systems independently.
03_006_0764,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,name,quality criteria of conceptual systems.,1,,,x,x,x,,,,Learners are able to name quality criteria of conceptual systems.
03_006_0765,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,explain,quality criteria of conceptual systems.,2,,,x,x,x,x,,,Learners are able to explain quality criteria of conceptual systems.
03_006_0766,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,analyse,the quality of conceptual systems.,4,,,,x,x,x,x,,Learners are able to analyse the quality of conceptual systems.
03_006_0767,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,evaluate,the quality of conceptual systems.,5,,,,x,x,x,x,x,Learners are able to evaluate the quality of conceptual systems.
03_006_0768,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,name,software for the development of conceptual systems.,1,,,,x,x,,,,Learners are able to name software for the development of conceptual systems.
03_006_0769,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,explain,software for the development of conceptual systems.,2,,,,x,x,x,,,Learners are able to explain software for the development of conceptual systems.
03_006_0770,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,apply,software for the development of conceptual systems.,3,,,x,x,x,x,x,,Learners are able to apply software for the development of conceptual systems.
03_006_0771,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,design,didactic scenarios on the subject of taxonomies.,6,,,,x,x,x,x,x,Learners are able to design didactic scenarios on the subject of taxonomies.
03_006_0772,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,carry out,didactic scenarios on the subject of taxonomies.,3,,,x,x,x,x,x,,Learners are able to carry out didactic scenarios on the subject of taxonomies.
03_006_0773,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,design,consultancy scenarios on the subject of taxonomies.,6,,,,x,x,x,x,x,Learners are able to design consultancy scenarios on the subject of taxonomies.
03_006_0774,Documentation and metadata,03,Taxonomy,03_006,Learners are able to,carry out,consultancy on the subject of taxonomies.,3,,,,x,x,x,x,,Learners are able to carry out consultancy on the subject of taxonomies.
03_007_0775,Documentation and metadata,03,Ontology,03_007,Learners are able to,explain,the term ontology.,2,x,x,x,x,x,x,,,Learners are able to explain the term ontology.
03_007_0776,Documentation and metadata,03,Ontology,03_007,Learners are able to,name,aspects of ontology.,1,,,,x,x,,,,Learners are able to name aspects of ontology.
03_007_0777,Documentation and metadata,03,Ontology,03_007,Learners are able to,explain,the relevance of ontology.,2,,x,x,x,x,x,,,Learners are able to explain the relevance of ontology.
03_007_0778,Documentation and metadata,03,Ontology,03_007,Learners are able to,name,ontologies to describe resources. ,1,,,x,x,x,,,,Learners are able to name ontologies to describe resources. 
03_007_0779,Documentation and metadata,03,Ontology,03_007,Learners are able to,explain,ontologies to describe resources. ,2,,,x,x,x,x,,,Learners are able to explain ontologies to describe resources. 
03_007_0780,Documentation and metadata,03,Ontology,03_007,Learners are able to,apply,ontologies to describe resources. ,3,,,x,x,x,x,x,,Learners are able to apply ontologies to describe resources. 
03_007_0781,Documentation and metadata,03,Ontology,03_007,Learners are able to,analyse,ontologies to describe resources. ,4,,,,x,x,x,x,,Learners are able to analyse ontologies to describe resources. 
03_007_0782,Documentation and metadata,03,Ontology,03_007,Learners are able to,evaluate,ontologies to describe resources. ,5,,,,x,x,x,x,x,Learners are able to evaluate ontologies to describe resources. 
03_007_0783,Documentation and metadata,03,Ontology,03_007,Learners are able to,develop,ontologies to describe resources. ,6,,,,x,x,x,x,x,Learners are able to develop ontologies to describe resources. 
03_007_0784,Documentation and metadata,03,Ontology,03_007,Learners are able to,name,methods to develop ontologies.,1,,,,x,x,,,,Learners are able to name methods to develop ontologies.
03_007_0785,Documentation and metadata,03,Ontology,03_007,Learners are able to,explain,methods to develop ontologies.,2,,,,x,x,x,,,Learners are able to explain methods to develop ontologies.
03_007_0786,Documentation and metadata,03,Ontology,03_007,Learners are able to,apply,methods to develop ontologies under guidance.,3,,,,x,x,x,x,,Learners are able to apply methods to develop ontologies under guidance.
03_007_0787,Documentation and metadata,03,Ontology,03_007,Learners are able to,apply,methods to develop ontologies independently.,3,,,,x,x,x,x,,Learners are able to apply methods to develop ontologies independently.
03_007_0788,Documentation and metadata,03,Ontology,03_007,Learners are able to,name,methods to evaluate ontologies.,1,,,,x,x,,,,Learners are able to name methods to evaluate ontologies.
03_007_0789,Documentation and metadata,03,Ontology,03_007,Learners are able to,explain,methods to evaluate ontologies.,2,,,,x,x,x,,,Learners are able to explain methods to evaluate ontologies.
03_007_0790,Documentation and metadata,03,Ontology,03_007,Learners are able to,apply,evaluation methods of ontologies under guidance.,3,,,,x,x,x,x,,Learners are able to apply evaluation methods of ontologies under guidance.
03_007_0791,Documentation and metadata,03,Ontology,03_007,Learners are able to,apply,evaluation methods of ontologies independently.,3,,,,x,x,x,x,,Learners are able to apply evaluation methods of ontologies independently.
03_007_0792,Documentation and metadata,03,Ontology,03_007,Learners are able to,analyse,evaluation methods of ontologies for their own use case.,4,,,,x,x,x,x,,Learners are able to analyse evaluation methods of ontologies for their own use case.
03_007_0793,Documentation and metadata,03,Ontology,03_007,Learners are able to,evaluate,evaluation methods of ontologies for their own use case.,5,,,,x,x,x,x,x,Learners are able to evaluate evaluation methods of ontologies for their own use case.
03_007_0794,Documentation and metadata,03,Ontology,03_007,Learners are able to,name,quality criteria for the evaluation of ontologies.,1,,,,x,x,,,,Learners are able to name quality criteria for the evaluation of ontologies.
03_007_0795,Documentation and metadata,03,Ontology,03_007,Learners are able to,explain,quality criteria for the evaluation of ontologies.,2,,,,x,x,x,,,Learners are able to explain quality criteria for the evaluation of ontologies.
03_007_0796,Documentation and metadata,03,Ontology,03_007,Learners are able to,name,software for the evaluation of ontologies.,1,,,,x,x,,,,Learners are able to name software for the evaluation of ontologies.
03_007_0797,Documentation and metadata,03,Ontology,03_007,Learners are able to,explain,software for the evaluation of ontologies.,2,,,,x,x,x,,,Learners are able to explain software for the evaluation of ontologies.
03_007_0798,Documentation and metadata,03,Ontology,03_007,Learners are able to,apply,software for the evaluation of ontologies.,4,,,,x,x,x,x,,Learners are able to apply software for the evaluation of ontologies.
03_007_0799,Documentation and metadata,03,Ontology,03_007,Learners are able to,design,didactic scenarios on the topic of ontologies.,6,,,,x,x,x,x,x,Learners are able to design didactic scenarios on the topic of ontologies.
03_007_0800,Documentation and metadata,03,Ontology,03_007,Learners are able to,carry out,didactic scenarios on the topic of ontologies.,3,,,,x,x,x,x,,Learners are able to carry out didactic scenarios on the topic of ontologies.
03_007_0801,Documentation and metadata,03,Ontology,03_007,Learners are able to,design,consultancy scenarios on the topic of ontologies.,6,,,,x,x,x,x,x,Learners are able to design consultancy scenarios on the topic of ontologies.
03_007_0802,Documentation and metadata,03,Ontology,03_007,Learners are able to,carry out,consultancy on the topic of ontologies.,3,,,,x,x,x,x,,Learners are able to carry out consultancy on the topic of ontologies.
04_001_0803,"Archiving, publication, reuse",04,Archiving,04_001,Learners are able to,explain,the term archiving.,2,x,x,x,x,x,x,,,Learners are able to explain the term archiving.
04_001_0804,"Archiving, publication, reuse",04,Archiving,04_001,Learners are able to,explain,"the differences between archiving, storage, backup and publication.",2,x,x,x,x,x,x,,,"Learners are able to explain the differences between archiving, storage, backup and publication."
04_001_0805,"Archiving, publication, reuse",04,Archiving,04_001,Learners are able to,explain,the benefits of archiving research data for research and society.,2,x,x,x,x,x,x,,,Learners are able to explain the benefits of archiving research data for research and society.
04_001_0806,"Archiving, publication, reuse",04,Archiving,04_001,Learners are able to,explain,the relevance of archiving research data for research and society.,2,x,x,x,x,x,x,,,Learners are able to explain the relevance of archiving research data for research and society.
04_001_0807,"Archiving, publication, reuse",04,Archiving,04_001,Learners are able to,name,the minimum retention period for scientific data according to the guidelines of good scientific practice.,1,,x,x,x,x,,,,Learners are able to name the minimum retention period for scientific data according to the guidelines of good scientific practice.
04_001_0808,"Archiving, publication, reuse",04,Archiving,04_001,Learners are able to,explain,selection criteria for research data for archiving.,2,,x,x,x,x,x,,,Learners are able to explain selection criteria for research data for archiving.
04_001_0809,"Archiving, publication, reuse",04,Archiving,04_001,Learners are able to,apply,selection criteria for research data for archiving.,3,,,x,x,x,x,x,,Learners are able to apply selection criteria for research data for archiving.
04_001_0810,"Archiving, publication, reuse",04,Archiving,04_001,Learners are able to,explain,challenges for the long-term usability of data.,2,,x,x,x,x,x,,,Learners are able to explain challenges for the long-term usability of data.
04_001_0811,"Archiving, publication, reuse",04,Archiving,04_001,Learners are able to,implement,measures for the long-term usability of data.,3,,,x,x,x,x,x,,Learners are able to implement measures for the long-term usability of data.
04_001_0812,"Archiving, publication, reuse",04,Archiving,04_001,Learners are able to,name,challenges for the long-term usability of data.,1,,,x,x,x,,,,Learners are able to name challenges for the long-term usability of data.
04_001_0813,"Archiving, publication, reuse",04,Archiving,04_001,Learners are able to,explain,challenges for the long-term usability of data.,2,,,x,x,x,x,,,Learners are able to explain challenges for the long-term usability of data.
